时间,推力/kN,环境总压,环境总温/K,高压压缩机1st-4th stage出口压力,高压压缩机1st-4th stage出口温度,高压压缩机1st-4th stage压比,高压压缩机5th-6th stage出口压力,高压压缩机5th-6th stage出口温度,高压压缩机5th-6th stage压比,燃烧室燃油流量/g/s,高速轴转速/rev/min,高速轴转矩,低速轴转速rev/min,低速轴转矩,高压涡轮出口压力,高压涡轮出口温度,高压涡轮质量流率,高压涡轮机械功率,高压涡轮转速,低压涡轮出口压力,低压涡轮出口温度,低压涡轮质量流率,低压涡轮机械功率,低压涡轮转速,喷嘴喉道静压,喷嘴喉道静温,喷嘴喉道速度
51.6499999999992,96.0507164447665,1.01325,288.15,20.0390231449698,792.636900251421,4.68435556386827,38.2486341277938,965.670258771188,1.90870751788093,3700.0,19949.5800266004,12733.4087741735,34730.0411696231,4626.48970467227,14.5857015219255,2232.40460237257,51347.0323943721,-26601556.9918676,-19949.5800266004,4.79317884509578,1957.71314550396,54520.6096403,-16826179.4442383,-34730.0411696231,2.50674298377925,1638.12569703398,772.858191348048
51.6999999999992,96.0507218363258,1.01325,288.15,20.0390245872661,792.636897027663,4.68435559037971,38.248633803595,965.670227711135,1.90870736432452,3700.0,19949.5795105708,12733.4080470717,34730.0698071144,4626.48102533013,14.5857026170124,2232.4046086071,51347.0322270356,-26601554.784774,-19949.5795105708,4.79317906372262,1957.71337484264,54520.6095005927,-16826161.7525583,-34730.0698071144,2.50674309996498,1638.12584437145,772.858224998167
51.7499999999992,96.0507270381125,1.01325,288.15,20.0390259864242,792.636893918187,4.68435561509157,38.2486334815551,965.670197520306,1.90870721498477,3700.0,19949.5790093295,12733.4073304343,34730.0975751924,4626.47259992256,14.5857036746735,2232.40461213502,51347.0320791416,-26601552.6192613,-19949.5790093295,4.7931792745274,1957.71359505833,54520.6093772107,-16826144.5631517,-34730.0975751924,2.50674321195766,1638.12598653452,772.858257396014
51.7999999999992,96.0507321053649,1.01325,288.15,20.0390273479312,792.636890831005,4.68435563935943,38.2486331676798,965.67016806702,1.90870706963871,3700.0,19949.5785206922,12733.4066367846,34730.1246172062,4626.46439901676,14.5857047052873,2232.40461672094,51347.031923451,-26601550.5185791,-19949.5785206922,4.79317947994917,1957.71381055289,54520.60924601,-16826127.8384283,-34730.1246172062,2.50674332110458,1638.12612524642,772.858289039995
51.8499999999992,96.0507370165494,1.01325,288.15,20.0390286647486,792.636887819313,4.68435566174901,38.2486328545622,965.670139449885,1.90870692858715,3700.0,19949.5780465866,12733.4059568976,34730.1509603618,4626.4564081307,14.5857057058661,2232.40462090307,51347.0317634993,-26601548.466026,-19949.5780465866,4.79317967904577,1957.7140202349,54520.6091085304,-16826111.5389023,-34730.1509603618,2.50674342688792,1638.12626019297,772.858319817601
51.8999999999992,96.0507418066412,1.01325,288.15,20.0390299465762,792.636884877152,4.68435568401128,38.248632552553,965.670111609141,1.90870679142271,3700.0,19949.5775853618,12733.4053069452,34730.1765925723,4626.44864294574,14.5857066813177,2232.40462773957,51347.031583598,-26601546.4931855,-19949.5775853618,4.79317987339841,1957.71422659825,54520.6089517249,-16826095.7157536,-34730.1765925723,2.50674353020132,1638.12639209853,772.858349992694
51.9499999999992,96.0507464231776,1.01325,288.15,20.0390311837632,792.636882079891,4.6843557038338,38.2486322501247,965.670084672845,1.90870665848936,3700.0,19949.5771393313,12733.4046618558,34730.201474418,4626.44109434257,14.5857076233815,2232.40463167477,51347.0314226461,-26601544.5507653,-19949.5771393313,4.7931800605625,1957.71442461234,54520.6088109868,-16826080.3167211,-34730.201474418,2.50674362964654,1638.1265194625,772.858379040018
51.9999999999992,96.0507510231045,1.01325,288.15,20.039032413972,792.636879404513,4.68435572822613,38.248631990763,965.670058446273,1.90870652836983,3700.0,19949.5767022249,12733.4040417915,34730.2256872918,4626.4337480617,14.585708554581,2232.40463419352,51347.0313302001,-26601542.672525,-19949.5767022249,4.79318024688709,1957.71461619296,54520.6087427484,-16826065.3293808,-34730.2256872918,2.50674372861213,1638.12664368092,772.858407318588
52.0499999999992,96.0507554811376,1.01325,288.15,20.0390336153323,792.636876800136,4.68435575137807,38.2486317327882,965.670032793605,1.90870640106733,3700.0,19949.576274866,12733.4034394767,34730.2492229814,4626.42660818417,14.5857094577759,2232.40463705135,51347.0312287283,-26601540.8443633,-19949.576274866,4.79318042749946,1957.71480274088,54520.6086648569,-16826050.7645993,-34730.2492229814,2.50674382455362,1638.12676442574,772.858434821716
52.0999999999992,96.0507597386251,1.01325,288.15,20.0390347583723,792.636874155216,4.68435577048028,38.2486314566933,965.670007873364,1.90870627841558,3700.0,19949.5758624769,12733.4028483881,34730.2721196276,4626.41966330306,14.5857103257385,2232.40464093727,51347.0310814039,-26601539.0596157,-19949.5758624769,4.79318060012217,1957.71498519063,54520.608536342,-16826036.599372,-34730.2721196276,2.50674391628102,1638.12688169662,772.858461581062
